Game Night,Captain Marvel,Annihilation,John Wick: Chapter 3 â€“ Parabellum,Venom,Spider-Man: Into the Spider-Verse,Mission: Impossible - Fallout,Isle of Dogs,Avengers: Infinity War - Part I,Bohemian Rhapsody,Hereditary,Solo: A Star Wars Story,Joker,Avengers: Infinity War - Part II,Roma,Upgrade,The Ballad of Buster Scruggs,Searching,Incredibles 2,Green Book,Sorry to Bother You,Deadpool 2
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1
